Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
48474 patients in Cohort 1 and 137931 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
121,0.9928380153858195,0.9926160251367813,0.9930533551455709,0.9902645329959986,0.9901668519390507,0.9903612484339787
122,0.9928099650466339,0.9925875199326372,0.9930257581628084,0.9902255031671368,0.990127606263397,0.9903224340545976
123,0.9927800282759673,0.9925570985019878,0.9929963044413882,0.9901924298839503,0.9900943503146475,0.9902895431002708
124,0.9927556921744773,0.9925323690138672,0.9929723604165743,0.9901570495031335,0.9900587747699415,0.990254357523162
125,0.9927163611725655,0.9924924034501997,0.9929336618630059,0.990116218119754,0.9900177184870037,0.9902137506240989
126,0.9926638924164524,0.9924390906310876,0.9928820343661104,0.9900716421535416,0.9899728974221316,0.990169419304165
127,0.9926263908054741,0.9924009873622369,0.9928451324151402,0.990037895655181,0.9899389656296415,0.9901358577574291
128,0.9925869800915742,0.9923609456025312,0.992806350640722,0.9900029657759293,0.989903844117313,0.9901011191552542
129,0.9925569349300072,0.9923304202953427,0.9927767840196886,0.9899685793401529,0.9898692692428039,0.990066920807379
130,0.9925343896703545,0.9923075152544093,0.9927545973361301,0.9899324475929723,0.9898329397478766,0.9900309864394786
131,0.9924967953083792,0.9922693219671375,0.9927175998910239,0.9898982988998452,0.9897986044004357,0.9899970240526038
132,0.9924685861803784,0.9922406642943481,0.9926898378038566,0.9898644141259256,0.989764534645612,0.9899633239144173
133,0.9924328371412916,0.9922043478576862,0.9926546542591641,0.9898201608777397,0.989720040179197,0.9899193114343766
134,0.9923933016597112,0.9921641862108111,0.992615742841051,0.9897824867813976,0.9896821610357943,0.9898818420022617
135,0.992365041121218,0.9921354788332194,0.9925879276355638,0.9897482273941568,0.9896477153629325,0.9898477685514491
136,0.9923386481331229,0.9921086690854433,0.9925619499971434,0.9897211427623006,0.9896204835870673,0.9898208307870345
